ant,animals
ape,animals
apple,animals
bat,animals
bear,animals
beetle,animals
camel,animals
cat,animals
chicken,animals
church,animals
cow,animals_BW
crab,animals
deer,animals
dog,animals_BW
dolphin,animals
giraffe,animals
hedgehog,animals
hermit_crab,animals
horse,animals
jellyfish,fish
kangaroo,animals
lion,animals
lobster,animals
monkey,animals
octopus,fish
owl,animals
panda,animals_BW
penguin,animals_BW
piano,animals
raccoon,animals_BW
rhinoceros,animals_BW
scorpion,animals
seal,animals
sheep,animals_BW
spider,animals
squirrel,animals
teddy_bear,animals
tiger,animals
zebra,animals_BW
parrot,bird
elephant,animals_BW
duck,bird
flying_bird,bird
rooster,bird
seagull,bird
songbird,bird
standing_bird,bird
swan,bird
wading_bird,bird
bench,buildings
bridge,buildings
cabin,buildings
castle,buildings
door,buildings
house,buildings
skyscraper,buildings
windmill,buildings
window,buildings
cloud,clouds
geyser,clouds
rainbow,clouds
crocodilian,dino
dinosaur,dino
dragon,dino
frog,dino
lizard,dino
sea_turtle,dino
snail,dino
snake,dino
turtle,dino
cell_phone,electronics
computer_mouse,electronics
hourglass,electronics
keyboard,electronics
laptop,electronics
microphone,electronics
microscope,electronics
mouse,electronics
radio,electronics
telephone,electronics
tv,electronics
walkie_talkie,electronics
person_sitting,family
person_walking,family
fish,fish
ray,fish
shark,fish
starfish,fish
flower,flower
hot_air_balloon,flower
mushroom,flower
parachute,flower
carrot,fruit
hamburger,food
hotdog,food
ice_cream_cone,food
pear,food
pizza,food
strawberry,fruit
tomato,fruit
pineapple,fruit
volcano,landscape
bush,plants
cactus,plants
helicopter,plants
palm_tree,plants
potted_plant,plants
tank,plants
tree,plants
alarm_clock,random
backpack,random
banana,random
basket,random
bell,random
bicycle,random
brain,random
bread,random
butterfly,random
candle,random
cannon,random
chair,random
couch,random
cup,random
eyeglasses,random
fan,random
guitar,random
harp,random
hat,random
jack_o_lantern,random
key,random
knife,random
megaphone,random
pistol,random
racket,random
rifle,random
saw,random
scissors,random
screwdriver,random
shoe,random
sword,random
t_shirt,random
table,random
teapot,random
tent,random
toilet,random
trumpet,random
umbrella,random
violin,random
wine_bottle,fruit
armor,schoolbus
bee,schoolbus
bulldozer,schoolbus
bus,schoolbus
sun,schoolbus
tractor,schoolbus
trombone,schoolbus
saxophone,schoolbus
sponge_bob,schoolbus
airplane,spaceship
axe,spaceship
blimp,spaceship
flying_saucer,spaceship
frying_pan,spaceship
hammer,spaceship
moon,spaceship
pickup_truck,spaceship
pig,spaceship
rocket,spaceship
satellite,spaceship
satellite_dish,spaceship
space_shuttle,spaceship
spoon,spaceship
submarine,spaceship
wheelchair,spaceship
sedan,transportation
computer_monitor,transportation
motorcycle,transportation
pretzel,transportation
rabbit,transportation
race_car,transportation
sailboat,transportation
ship,transportation
speed_boat,transportation
suv,transportation
train,transportation
truck,transportation
